CASE_ID,ACCIDENT_YEAR,PROC_DATE,JURIS,COLLISION_DATE,COLLISION_TIME,OFFICER_ID,REPORTING_DISTRICT,DAY_OF_WEEK,CHP_SHIFT,POPULATION,CNTY_CITY_LOC,SPECIAL_COND,BEAT_TYPE,CHP_BEAT_TYPE,CITY_DIVISION_LAPD,CHP_BEAT_CLASS,BEAT_NUMBER,PRIMARY_RD,SECONDARY_RD,DISTANCE,DIRECTION,INTERSECTION,WEATHER_1,WEATHER_2,STATE_HWY_IND,CALTRANS_COUNTY,CALTRANS_DISTRICT,STATE_ROUTE,ROUTE_SUFFIX,POSTMILE_PREFIX,POSTMILE,LOCATION_TYPE,RAMP_INTERSECTION,SIDE_OF_HWY,TOW_AWAY,COLLISION_SEVERITY,NUMBER_KILLED,NUMBER_INJURED,PARTY_COUNT,PRIMARY_COLL_FACTOR,PCF_CODE_OF_VIOL,PCF_VIOL_CATEGORY,PCF_VIOLATION,PCF_VIOL_SUBSECTION,HIT_AND_RUN,TYPE_OF_COLLISION,MVIW,PED_ACTION,ROAD_SURFACE,ROAD_COND_1,ROAD_COND_2,LIGHTING,CONTROL_DEVICE,CHP_ROAD_TYPE,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,NOT_PRIVATE_PROPERTY,ALCOHOL_INVOLVED,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,COUNT_SEVERE_INJ,COUNT_VISIBLE_INJ,COUNT_COMPLAINT_PAIN,COUNT_PED_KILLED,COUNT_PED_INJURED,COUNT_BICYCLIST_KILLED,COUNT_BICYCLIST_INJURED,COUNT_MC_KILLED,COUNT_MC_INJURED,PRIMARY_RAMP,SECONDARY_RAMP,LATITUDE,LONGITUDE,COUNTY,CITY,POINT_X,POINT_Y
8762084,2019,2019-02-04,1956,2019-01-01,0306,1347,45,2,5,5,1956,0,0,0,,0,005,"LAKEWOOD AV","INGLEWOOD AV",6.00,E,N,A,-,N,,,,,,,,,,Y,4,0,1,3,A,-,00,22152,A,N,B,E,A,A,H,-,C,D,0,,,,,Y,Y,A,01,0,0,1,0,0,0,0,0,0,"- ","- ",,,"LOS ANGELES","REDONDO BEACH",,
8762092,2019,2019-02-04,1900,2019-01-01,1832,520671,2925,2,5,5,1990,0,0,0,,0,292T1,"DIAMOND BAR BL","MAPLE HILL RD",0.00,,Y,A,-,N,,,,,,,,,,Y,3,0,2,2,A,-,09,21801,A,N,A,I,A,A,H,-,C,A,0,,,,,Y,,A,08,0,1,1,0,0,0,0,0,0,"- ","- ",33.990108489990234,-117.81986236572266,"LOS ANGELES","DIAMOND BAR",-117.81989288330078,33.990081787109375
8762128,2019,2019-02-04,1900,2019-01-01,1955,600174,2846,2,5,5,1915,0,0,0,,0,283T1,"BULLIS RD","COMPTON BL",0.00,,Y,A,-,N,,,,,,,,,,N,4,0,1,2,A,-,12,21453,A,N,D,C,A,A,H,-,D,A,0,,,,,Y,,A,01,0,0,1,0,0,0,0,0,0,"- ","- ",,,"LOS ANGELES",COMPTON,-118.20659637451172,33.896018981933594
8770718,2019,2019-02-02,1967,2019-01-01,2005,116,,2,5,2,1967,0,0,0,,0,SOUTH,HILL,"GAVIOTA AV",98.00,W,N,A,-,N,,,,,,,,,,Y,4,0,1,2,A,-,01,23152,A,M,C,E,A,A,H,-,C,D,0,,,,,Y,Y,A,01,0,0,1,0,0,0,0,0,0,"- ","- ",,,"LOS ANGELES","SIGNAL HILL",-118.17124938964844,33.797130584716797
8774111,2019,2019-03-29,1941,2019-01-01,1947,10953,,2,5,7,1941,0,0,0,,0,,"ANAHEIM ST","JUNIPERO AV",0.00,,Y,-,-,N,,,,,,,,,,N,2,0,1,2,D,-,00,,,M,G,B,B,-,-,-,-,-,0,Y,,,,Y,,-,"- ",1,0,0,0,1,0,0,0,0,"- ","- ",,,"LOS ANGELES","LONG BEACH",-118.16335296630859,33.782611846923828
8774126,2019,2019-02-07,1900,2019-01-01,2049,629461,1122,2,5,6,1992,0,0,0,,0,111T1,"W AVENUE J","GENOA AV",125.00,E,N,A,-,N,,,,,,,,,,N,3,0,1,2,A,-,09,21804,A,N,G,B,-,A,H,-,A,D,0,Y,,,,Y,,N,60,0,1,0,0,1,0,0,0,0,"- ","- ",,,"LOS ANGELES",LANCASTER,-118.1453857421875,34.689449310302734
8774148,2019,2019-02-02,1942,2019-01-01,1810,33757,0711,2,5,7,1942,0,0,0,G,0,7A1,"LA CIENEGA BL","OAKWOOD AV",70.00,S,N,A,-,N,,,,,,,,,,Y,4,0,1,3,A,-,07,21658,A,F,B,C,A,A,H,-,C,D,0,,,,,Y,,-,99,0,0,1,0,0,0,0,0,0,"- ","- ",,,"LOS ANGELES","LOS ANGELES",-118.37660980224609,34.077919006347656
8774618,2019,2019-01-15,1900,2019-01-01,1507,619590,1623,2,5,5,1977,0,0,0,,0,164T1,"CARSON ST","FIGUEROA ST",0.00,,Y,A,-,N,,,,,,,,,,Y,3,0,2,3,A,-,12,21453,A,N,D,C,A,A,H,-,A,A,0,,,,,Y,,A,01,0,1,1,0,0,0,0,0,0,"- ","- ",,,"LOS ANGELES",CARSON,-118.2861328125,33.831600189208984
8774626,2019,2019-01-15,1942,2019-01-01,2130,33757,0893,2,5,7,1942,0,0,0,H,0,8A35,"OVERLAND AV","NATIONAL BL",0.00,,Y,A,-,N,,,,,,,,,,Y,3,0,2,3,A,-,01,23152,A,N,D,C,A,A,H,-,C,A,0,,,,,Y,Y,A,01,0,1,1,0,0,0,0,0,0,"- ","- ",,,"LOS ANGELES","LOS ANGELES",-118.41761016845703,34.032459259033203
8776064,2019,2019-02-02,1942,2019-01-01,0015,37304,1954,2,5,7,1942,0,0,0,,0,19A43,"SEPULVEDA BL","MAYALL ST",499.00,S,N,G,-,N,,,,,,,,,,Y,2,0,1,1,A,-,03,22350,,N,E,I,A,A,H,-,C,D,0,,,,,Y,,A,01,1,0,0,0,0,0,0,0,0,"- ","- ",,,"LOS ANGELES","LOS ANGELES",-118.46750640869141,34.252231597900391
