case_id,party_number,victim_number,accident_year,collision_time,day_of_week,weather_1,primary_coll_factor,type_of_collision,at_fault,party_sex,party_soberiety,oaf_1,move_pre_acc,vehicle_year,vehicle_make,stwd_vehicle_type,race,road_surface,road_cond_1,lighting,point_x,point_y,victim_age,severe_injury,safety_equip_used,victim_sex,victim_seating_postion,victim_ejected
8789755,3,1,2019,1549,1,B,A,C,N,F,A,N,A,2007,GMC,D,H,B,H,A,-118.0604095,33.96380615,44,0,GM,F,1,0
8789755,3,2,2019,1549,1,B,A,C,N,F,A,N,A,2007,GMC,D,H,B,H,A,-118.0604095,33.96380615,10,0,GM,F,3,0
90698692,1,1,2018,1850,5,A,A,C,Y,M,A,N,B,2012,FORD,D,H,A,H,C,-118.2899857,33.85935974,40,0,GP,M,5,0
90698692,1,2,2018,1850,5,A,A,C,Y,M,A,N,B,2012,FORD,D,H,A,H,C,-118.2899857,33.85935974,59,0,GM,M,3,0
8296242,2,1,2017,1710,5,A,A,D,N,M,A,N,B,2005,DODGE,D,W,A,H,B,-118.13063,34.71854003,52,0,GM,M,1,0
8310635,2,1,2017,1550,7,A,A,B,N,M,A,N,B,1997,FORD,D,H,A,H,A,-118.3969554,34.27623677,83,0,GM,F,2,0
8310635,2,2,2017,1550,7,A,A,B,N,M,A,N,B,1997,FORD,D,H,A,H,A,-118.3969554,34.27623677,49,0,GM,M,3,0
8310635,2,3,2017,1550,7,A,A,B,N,M,A,N,B,1997,FORD,D,H,A,H,A,-118.3969554,34.27623677,21,0,GM,F,5,0
8310635,2,4,2017,1550,7,A,A,B,N,M,A,N,B,1997,FORD,D,H,A,H,A,-118.3969554,34.27623677,50,0,GM,F,6,0
8310635,2,5,2017,1550,7,A,A,B,N,M,A,N,B,1997,FORD,D,H,A,H,A,-118.3969554,34.27623677,0,0,MQ,F,4,0
8310635,2,6,2017,1550,7,A,A,B,N,M,A,N,B,1997,FORD,D,H,A,H,A,-118.3969554,34.27623677,3,0,GM,M,5,0
8316591,2,1,2017,1330,1,C,A,C,N,M,A,N,A,1990,TOYOTA,D,H,B,H,A,-118.2651593,33.95295308,25,0,GM,M,1,3
90968445,2,1,2019,2135,1,A,A,C,N,M,A,N,A,1996,CHEV,D,W,A,H,C,-117.835968,34.61648941,46,0,GM,M,1,0
8337215,1,1,2017,1600,1,A,A,C,Y,M,A,ZZ,G,1998,FORD,D,H,A,H,A,-118.2744589,34.14475147,40,0,GM,M,3,0
9023953,1,1,2019,1323,3,C,A,D,Y,M,A,N,B,2000,CHEVROLET,D,H,B,H,A,-118.2929764,33.87290573,46,0,GM,M,1,0
8318849,2,1,2017,615,4,B,A,D,N,M,A,N,B,1994,CHEVROLET,D,W,B,H,B,-118.1280181,34.61627925,43,0,GL,M,1,0
8331973,1,1,2017,2202,5,B,A,B,Y,M,B,A,Q,2003,TOYOTA,D,H,A,H,C,-118.126487,33.95040918,23,0,GL,M,1,0
