collision_time,day_of_week,weather_1,type_of_collision,road_surface,road_cond_1,lighting,point_x,point_y,at_fault,party_soberiety,oaf_1,party_number_killed,party_number_injured,move_pre_acc,vehicle_year,stwd_vehicle_type,race,victim_age,victim_sex,victim_role,safety_equip_used,victim_seating_postion,victim_ejected,severe_injury
09:25:00,2,A,C,A,H,A,-118.5800643,34.24998,Y,G,N,1,0,J,2004,C,W,25,M,1,PW,1,1,1
05:57:00,5,A,D,A,H,B,-118.2637901,34.12598011,N,G,N,1,0,B,2015,C,H,26,M,1,PW,1,1,1
17:10:00,2,A,D,A,H,A,-118.3762001,34.05944008,Y,G,A,1,0,B,2015,C,B,29,M,1,PW,1,1,1
14:52:00,1,B,D,A,H,A,-118.1920001,33.95280004,Y,B,N,1,0,B,2005,C,H,32,M,1,PW,1,0,1
15:15:00,1,A,D,A,H,A,-118.1303037,33.89656015,N,A,N,1,0,B,2014,C,H,35,M,1,PW,1,1,1
18:25:00,3,A,D,A,H,C,-118.3171701,34.07623001,N,A,N,1,0,B,2006,C,W,42,M,1,PW,1,1,1
14:10:00,6,A,D,A,H,A,-118.5403421,34.18003529,N,A,N,1,1,B,2011,C,W,49,F,2,PW,4,1,1
14:10:00,6,A,D,A,H,A,-118.5403421,34.18003529,N,A,N,1,1,B,2011,C,W,49,M,1,PW,1,1,1
18:15:00,1,A,C,A,H,A,-118.149669,34.67487529,Y,G,G,1,0,B,2016,C,B,28,M,1,PW,1,1,1
14:00:00,7,A,B,A,H,A,-118.5182,34.04137008,N,A,A,0,1,B,2011,C,W,38,M,1,PW,1,0,0
14:00:00,7,A,B,A,H,A,-118.5182,34.04137008,N,A,A,0,1,B,2015,C,W,24,M,1,PW,1,0,0
14:00:00,7,A,B,A,H,A,-118.5182,34.04137008,N,A,A,0,1,B,2016,C,W,37,M,1,PW,1,0,0
14:00:00,7,A,B,A,H,A,-118.5182,34.04137008,N,A,A,1,0,B,2016,C,W,36,M,1,PW,1,1,1
22:07:00,1,A,D,A,H,C,-118.168824,33.90372,Y,B,N,1,0,D,2014,C,H,25,M,1,PW,0,1,1
13:50:00,2,A,D,A,H,A,-118.5361001,34.27175002,N,A,N,1,0,B,2004,C,W,20,M,1,AW,1,0,1
11:40:00,5,A,D,A,H,A,-118.28434,34.06854003,N,A,N,1,0,B,2014,C,W,31,M,1,PW,1,1,1
17:10:00,7,B,D,A,H,C,-118.28244,33.79396008,N,A,A,0,1,B,2010,C,H,16,M,1,PW,1,1,1
14:22:00,7,B,D,A,H,A,-118.07612,34.54762003,Y,A,N,0,1,B,2002,C,B,33,M,1,PW,1,1,0
18:50:00,2,A,E,A,H,C,-118.3963388,33.94546776,Y,A,N,0,1,B,2014,C,W,59,F,1,PW,1,0,0
13:16:00,4,A,C,A,H,A,-118.5718078,34.19379,Y,A,N,0,1,B,2006,C,H,35,M,1,AW,1,0,0
19:05:00,5,A,D,A,H,C,-118.4392301,34.29949001,Y,A,N,0,2,E,2003,C,H,24,M,2,GL,6,0,0
19:05:00,5,A,D,A,H,C,-118.4392301,34.29949001,Y,A,N,0,2,E,2003,C,H,19,M,2,GL,3,0,0
17:45:00,7,A,B,A,H,C,-118.316002,33.9746,Y,B,N,2,0,B,2014,C,H,24,F,2,PY,2,1,1
17:45:00,7,A,B,A,H,C,-118.316002,33.9746,Y,B,N,2,0,B,2014,C,H,28,M,1,PW,1,1,1
18:12:00,4,A,A,A,H,A,-118.28169,33.82439007,Y,A,N,1,0,B,2010,C,W,36,M,1,PW,1,1,1
15:10:00,1,B,D,B,H,A,-118.3352801,34.1121601,N,A,A,0,1,B,2008,C,W,59,M,1,PW,1,1,1
18:25:00,5,A,A,A,H,C,-118.2141201,33.93878009,N,A,N,0,1,B,2012,C,H,35,M,1,PW,1,1,1
21:50:00,3,A,D,A,H,C,-118.0489701,34.09069009,Y,G,N,1,0,B,2016,C,H,20,M,1,PW,1,1,1
17:20:00,6,A,B,A,H,A,-118.3746501,34.16490009,N,A,N,0,1,B,2012,C,H,30,M,1,PW,1,0,0
12:55:00,7,A,D,A,H,A,-118.4502882,34.30707907,N,A,N,0,1,B,2014,C,H,24,M,1,PW,1,1,1
14:25:00,6,A,E,A,H,A,-118.3388509,34.06890685,Y,G,N,1,0,D,2003,C,W,54,M,1,PV,1,1,1
05:45:00,2,B,B,B,H,C,-118.4749001,34.16258007,Y,A,N,0,1,B,2015,C,W,46,M,1,MW,1,1,0
13:20:00,6,A,H,A,H,A,-118.5535202,34.21240405,Y,A,N,0,1,B,2003,C,W,23,M,1,PW,1,1,1
14:24:00,6,A,D,A,H,A,-118.067252,34.58019925,N,A,N,0,1,B,2006,C,W,25,M,1,PW,1,1,0
10:25:00,6,A,D,A,H,A,-118.28682,34.07677004,N,A,N,0,1,B,2009,C,H,29,M,1,PW,1,0,0
13:55:00,4,A,B,A,H,A,-118.45744,34.19392004,N,A,N,0,1,B,2002,C,H,67,M,1,PW,1,1,0
17:40:00,5,A,D,B,H,C,-118.50264,34.22172667,N,A,N,0,1,B,2002,C,O,20,M,1,PW,1,1,0
13:15:00,6,A,B,A,H,A,-118.5354956,34.23544814,N,A,A,0,1,B,2013,C,H,25,M,1,AW,1,1,0
12:55:00,3,B,C,A,H,A,-118.4091154,34.25447126,Y,A,N,0,1,B,2008,C,H,45,M,1,PW,1,0,0
14:50:00,3,A,D,A,H,A,-118.2446483,34.05635036,N,A,N,0,1,B,2012,C,H,37,M,1,PW,1,2,0
06:20:00,2,A,A,A,H,B,-118.2542386,33.8137427,N,A,N,0,1,B,2006,C,H,49,M,1,AP,1,1,0
15:16:00,7,A,F,A,H,A,-118.14223,34.73338,Y,G,L,0,1,B,2003,C,W,61,M,1,PW,1,1,0
11:15:00,5,B,C,A,H,A,-118.2926271,34.00368,Y,A,N,0,1,B,2006,C,B,27,M,1,PW,1,1,1
11:54:00,1,A,E,A,H,A,-118.0801601,34.5434901,Y,A,N,0,1,D,2001,C,B,26,M,1,PW,1,1,0
14:16:00,3,A,D,A,H,A,-117.8988901,34.07287003,N,A,N,0,1,B,2007,C,H,25,M,1,PW,1,1,0
11:00:00,6,A,H,A,H,A,-118.3982732,34.05513316,Y,A,N,0,1,B,2005,C,W,27,M,1,PW,1,1,0
21:20:00,5,A,D,A,H,C,-118.4600301,33.99756003,N,A,A,0,1,B,2013,C,H,37,M,1,PW,1,1,1
16:50:00,4,A,D,A,H,A,-118.447683,34.24744143,N,A,N,0,1,B,2008,C,O,37,M,1,PW,1,1,1
16:00:00,7,A,F,A,H,A,-118.3579306,34.22161542,Y,A,N,0,1,B,2006,C,H,31,M,1,PW,1,1,1
21:45:00,2,A,D,A,H,C,-118.4225915,34.01971485,N,A,N,0,1,B,2012,C,W,23,M,1,PW,1,1,0
06:55:00,5,A,H,A,H,A,-118.3987279,34.02348691,N,A,N,0,1,B,2013,C,H,46,M,1,PV,1,0,0
09:30:00,5,A,A,A,H,A,-118.3267001,34.04783012,N,A,N,0,1,B,2002,C,H,40,M,1,PW,1,0,0
09:50:00,7,B,H,A,H,A,-118.284523,34.05771602,N,A,N,0,1,B,2005,C,H,33,M,1,PW,1,0,0
12:30:00,4,A,D,A,H,A,-118.5419831,34.41884613,N,A,N,0,1,B,2016,C,W,40,M,1,PW,1,1,0
