collision_time,day_of_week,weather_1,type_of_collision,road_surface,road_cond_1,lighting,point_x,point_y,at_fault,party_soberiety,oaf_1,party_number_killed,party_number_injured,move_pre_acc,vehicle_year,stwd_vehicle_type,race,victim_age,victim_sex,victim_role,safety_equip_used,victim_seating_postion,victim_ejected,severe_injury
20:09:00,7,A,A,A,H,C,-118.1567101,34.66037002,Y,B,A,0,0,E,2003,D,H,27,F,2,GL,3,0,0
16:04:00,3,A,D,A,H,C,-118.12996,34.60577002,N,A,N,0,1,E,2007,D,W,70,M,1,HL,1,0,0
20:40:00,5,A,A,A,H,C,-118.5506304,34.46224623,Y,B,A,1,1,B,2007,D,W,23,F,2,GL,3,0,0
20:40:00,5,A,A,A,H,C,-118.5506304,34.46224623,Y,B,A,1,1,B,2007,D,W,24,M,1,GL,1,0,1
17:00:00,5,A,A,A,H,A,-118.5130501,34.45287005,N,D,N,0,3,B,2012,D,W,12,M,2,GL,3,0,0
17:00:00,5,A,A,A,H,A,-118.5130501,34.45287005,N,D,N,0,3,B,2012,D,W,9,M,2,GL,6,0,0
17:00:00,5,A,A,A,H,A,-118.5130501,34.45287005,N,D,N,0,3,B,2012,D,W,49,M,1,GL,1,0,0
06:30:00,5,A,D,A,H,B,-118.4018801,34.28085004,Y,A,N,0,1,E,2001,D,H,32,F,1,GL,1,0,0
13:50:00,6,A,C,A,H,A,-118.4836801,34.21567006,N,A,N,0,5,A,2015,D,W,23,M,2,GM,5,0,0
13:50:00,6,A,C,A,H,A,-118.4836801,34.21567006,N,A,N,0,5,A,2015,D,W,36,M,2,GM,6,0,0
13:50:00,6,A,C,A,H,A,-118.4836801,34.21567006,N,A,N,0,5,A,2015,D,W,23,M,2,GM,3,0,0
13:50:00,6,A,C,A,H,A,-118.4836801,34.21567006,N,A,N,0,5,A,2015,D,W,26,M,2,GM,4,0,0
13:50:00,6,A,C,A,H,A,-118.4836801,34.21567006,N,A,N,0,5,A,2015,D,W,39,M,1,GM,1,0,0
11:35:00,6,B,A,A,H,A,-118.3851916,34.10745962,N,A,N,0,0,A,2011,D,H,35,M,2,GM,3,0,0
07:38:00,5,A,D,A,H,A,-118.1676901,33.80437009,N,A,N,0,1,B,2003,D,H,52,M,1,GM,1,0,0
19:30:00,5,A,B,A,H,C,-118.37183,33.97731005,Y,G,N,0,1,E,2011,D,H,30,F,2,GL,5,0,0
14:40:00,2,A,C,A,H,A,-118.3810792,34.10072948,N,A,N,0,0,A,2008,D,H,33,M,2,GM,3,0,0
22:34:00,5,A,B,A,H,C,-118.338511,34.0907,N,A,N,0,0,A,2016,D,H,19,F,2,GM,3,0,0
22:34:00,5,A,B,A,H,C,-118.338511,34.0907,Y,A,N,0,0,B,2006,D,H,33,F,2,GM,6,0,0
22:34:00,5,A,B,A,H,C,-118.338511,34.0907,Y,A,N,0,0,B,2006,D,H,31,F,2,GM,4,0,0
22:34:00,5,A,B,A,H,C,-118.338511,34.0907,Y,A,N,0,0,B,2006,D,H,27,F,2,GM,3,0,0
16:23:00,3,A,C,A,H,A,-118.23435,33.89590008,N,A,A,0,3,B,2002,D,H,12,F,2,GL,3,0,0
16:23:00,3,A,C,A,H,A,-118.23435,33.89590008,N,A,A,0,3,B,2002,D,H,7,F,2,GP,6,0,0
16:23:00,3,A,C,A,H,A,-118.23435,33.89590008,N,A,A,0,3,B,2002,D,H,15,M,2,GL,4,0,0
16:23:00,3,A,C,A,H,A,-118.23435,33.89590008,N,A,A,0,3,B,2002,D,H,9,M,2,GP,5,0,0
11:05:00,7,A,D,A,H,C,-118.3965101,34.17213008,Y,A,N,0,1,B,2003,D,H,40,M,1,GM,1,0,0
22:00:00,6,B,D,A,H,C,-118.4668791,34.31557682,N,A,ZZ,0,1,B,2011,D,H,23,F,1,LM,3,0,0
13:20:00,2,A,C,A,H,A,-118.1512801,34.68942009,Y,H,I,0,1,B,2003,D,W,61,F,1,GM,1,0,0
21:25:00,5,C,D,B,F,D,-118.1927656,34.63105477,N,A,N,0,1,B,2009,D,H,56,M,1,GL,1,0,1
18:20:00,2,A,H,A,H,B,-118.3929438,34.03561065,Y,A,A,1,0,B,2011,D,B,27,M,2,MP,7,0,0
18:20:00,2,A,H,A,H,B,-118.3929438,34.03561065,Y,A,A,1,0,B,2011,D,B,28,M,2,GM,3,0,0
18:20:00,2,A,H,A,H,B,-118.3929438,34.03561065,Y,A,A,1,0,B,2011,D,B,35,M,2,GM,2,0,0
18:20:00,2,A,H,A,H,B,-118.3929438,34.03561065,Y,A,A,1,0,B,2011,D,B,50,M,2,MP,7,0,0
18:20:00,2,A,H,A,H,B,-118.3929438,34.03561065,Y,A,A,1,0,B,2011,D,B,37,M,2,MP,7,1,1
18:00:00,3,A,D,A,H,C,-118.4094301,34.18686007,Y,A,N,0,3,E,2009,D,H,16,M,2,GM,3,0,0
18:00:00,3,A,D,A,H,C,-118.4094301,34.18686007,Y,A,N,0,3,E,2009,D,H,15,M,2,GM,6,0,0
18:00:00,3,A,D,A,H,C,-118.4094301,34.18686007,Y,A,N,0,3,E,2009,D,H,21,F,1,GM,1,0,0
19:57:00,5,C,B,B,H,C,-118.3735815,34.22220552,Y,A,N,0,1,E,2002,D,H,31,F,1,GM,1,3,0
21:00:00,4,A,C,A,H,C,-118.4482919,34.24701189,N,A,N,0,1,A,2001,D,H,51,M,1,GM,1,0,0
13:31:00,5,A,D,A,H,A,-117.9441701,34.02809005,N,A,N,0,1,B,2014,D,H,39,M,1,GM,1,0,0
05:00:00,3,C,E,B,H,C,-118.5941909,34.19376088,Y,A,A,0,1,B,2004,D,H,16,F,1,GM,1,0,0
01:05:00,5,A,A,A,H,C,-118.3615326,34.16012723,Y,A,N,0,2,N,2016,D,B,35,F,2,GL,3,0,0
01:05:00,5,A,A,A,H,C,-118.3615326,34.16012723,Y,A,N,0,2,N,2016,D,B,36,M,1,GL,1,0,0
15:50:00,1,A,D,A,H,A,-118.382816,34.17942,N,A,N,0,1,B,2006,D,H,38,M,1,GM,1,0,0
14:40:00,6,A,G,A,H,A,-118.5011581,34.25025184,N,A,N,0,0,B,2010,D,W,35,F,2,GM,3,0,0
13:30:00,6,A,D,A,H,A,-118.4664201,34.21805008,N,A,N,0,1,E,2011,D,H,31,M,2,GM,3,0,0
13:30:00,6,A,D,A,H,A,-118.4664201,34.21805008,N,A,N,0,1,E,2011,D,H,52,M,1,GM,1,0,0
13:45:00,1,A,D,A,H,A,-118.6062603,34.24223058,N,A,N,0,1,A,2003,D,W,55,M,1,GL,1,0,0
22:10:00,6,A,C,A,H,C,-118.5295582,34.24999753,Y,A,F,0,1,B,2010,D,H,50,M,1,GL,1,0,0
13:10:00,6,B,C,A,H,A,-118.5022,34.27221458,N,A,N,0,1,A,2002,D,W,28,M,1,GM,1,0,0
13:00:00,7,C,C,B,H,C,-118.3613996,34.23568481,Y,D,N,0,1,B,2002,D,H,19,F,1,GM,1,0,0
16:55:00,4,C,D,B,H,C,-118.5712201,34.24274007,N,A,N,0,1,B,2001,D,H,12,M,2,GM,3,0,0
16:55:00,4,C,D,B,H,C,-118.5712201,34.24274007,N,A,N,0,1,B,2001,D,H,47,M,1,GM,1,0,0
07:30:00,4,B,D,B,H,A,-118.4579701,34.2841801,N,A,N,0,2,E,2011,D,H,26,M,2,GM,6,3,0
07:30:00,4,B,D,B,H,A,-118.4579701,34.2841801,N,A,N,0,2,E,2011,D,H,30,M,2,GM,3,3,0
18:10:00,5,A,D,A,H,C,-118.6234201,34.2009901,N,A,N,0,1,B,2012,D,W,21,M,1,GL,1,0,0
18:10:00,6,A,C,A,H,C,-118.5772978,34.20100173,N,A,N,0,2,A,2010,D,H,53,F,2,GL,3,0,0
14:00:00,5,B,C,B,F,A,-118.500988,34.20122881,Y,G,N,0,0,B,2002,D,H,998,F,2,GM,3,0,0
21:40:00,6,A,D,A,H,C,-118.4724101,34.20111011,Y,B,N,0,0,B,2013,D,H,27,M,2,GL,3,0,0
